Epc,reflist_run_id,slice_id_IN,in_IN,out_IN,order_IN,slice_id_OUT,in_OUT,out_OUT,order_OUT,refListId_actual,Q refListId_actual,pred_ana_bool,Nombre de lectures
epc_166,2_39,up_2,-60.0,-110.0,2,up_1,-110.0,-55.0,1,2,34,True,34
epc_166,2_38,mid_0,-64.0,-110.0,3,up_1,-110.0,-55.0,1,2,34,True,34
epc_166,2_37,up_2,-60.0,-110.0,2,up_1,-66.0,-55.0,1,2,34,True,34
epc_165,2_34,up_2,-55.0,-110.0,2,up_1,-110.0,-54.0,1,2,34,True,33
epc_165,2_33,up_2,-59.0,-110.0,2,up_1,-67.0,-65.0,1,2,34,True,33
epc_165,2_31,up_2,-58.0,-110.0,2,up_1,-110.0,-49.0,1,2,34,True,33
epc_165,2_30,up_2,-71.0,-110.0,2,up_0,-110.0,-49.0,0,2,34,True,33
epc_165,2_3,up_2,-65.0,-110.0,2,up_0,-110.0,-49.0,0,2,34,True,33
epc_165,2_29,up_2,-55.0,-110.0,2,up_1,-110.0,-58.0,1,2,34,True,33
epc_165,2_28,up_1,-59.0,-110.0,1,up_0,-110.0,-51.0,0,2,34,True,33
epc_165,2_27,mid_0,-58.0,-110.0,3,up_1,-65.0,-64.0,1,2,34,True,33
epc_165,2_26,up_2,-55.0,-110.0,2,up_0,-77.0,-53.0,0,2,34,True,33
epc_165,2_25,mid_0,-58.0,-110.0,3,up_1,-66.0,-65.0,1,2,34,True,33
epc_165,2_24,up_2,-61.0,-110.0,2,up_1,-110.0,-52.0,1,2,34,True,33
epc_165,2_22,mid_0,-57.0,-110.0,3,up_2,-67.0,-51.0,2,2,34,True,33
epc_165,2_21,up_2,-59.0,-110.0,2,up_0,-110.0,-54.0,0,2,34,True,33
epc_165,2_2,mid_0,-57.0,-110.0,3,up_0,-74.0,-49.0,0,2,34,True,33
epc_165,2_19,up_2,-61.0,-110.0,2,up_0,-110.0,-52.0,0,2,34,True,33
epc_165,2_17,mid_0,-55.0,-110.0,3,up_1,-110.0,-59.0,1,2,34,True,33
epc_165,2_15,mid_1,-52.0,-110.0,4,up_2,-67.0,-66.0,2,2,34,True,33
epc_173,2_12,mid_0,-69.0,-110.0,3,up_1,-110.0,-56.0,1,2,34,True,34
epc_164,2_38,mid_0,-63.0,-110.0,3,up_1,-110.0,-49.0,1,2,34,True,34
epc_164,2_39,up_2,-59.0,-110.0,2,up_1,-110.0,-53.0,1,2,34,True,34
epc_164,2_4,mid_0,-54.0,-110.0,3,up_2,-110.0,-50.0,2,2,34,True,34
epc_164,2_5,up_2,-61.0,-68.0,2,up_1,-110.0,-50.0,1,2,34,True,34
epc_164,2_6,mid_0,-55.0,-110.0,3,up_2,-67.0,-65.0,2,2,34,True,34
epc_165,2_35,mid_0,-55.0,-110.0,3,up_1,-65.0,-63.0,1,2,34,True,33
epc_164,2_7,mid_0,-57.0,-110.0,3,up_1,-71.0,-58.0,1,2,34,True,34
epc_164,2_9,mid_0,-62.0,-110.0,3,up_2,-61.0,-50.0,2,2,34,True,34
epc_165,2_10,mid_0,-52.0,-110.0,3,up_0,-110.0,-49.0,0,2,34,True,33
epc_165,2_11,mid_0,-55.0,-110.0,3,up_1,-110.0,-56.0,1,2,34,True,33
epc_165,2_12,mid_0,-55.0,-110.0,3,up_1,-110.0,-52.0,1,2,34,True,33
epc_165,2_13,up_2,-67.0,-110.0,2,up_1,-110.0,-54.0,1,2,34,True,33
epc_165,2_14,mid_0,-54.0,-110.0,3,up_0,-110.0,-51.0,0,2,34,True,33
epc_164,2_8,up_2,-55.0,-110.0,2,up_1,-110.0,-53.0,1,2,34,True,34
epc_165,2_36,up_2,-59.0,-110.0,2,up_0,-110.0,-52.0,0,2,34,True,33
epc_165,2_37,up_2,-58.0,-110.0,2,up_1,-110.0,-60.0,1,2,34,True,33
epc_165,2_38,mid_0,-57.0,-110.0,3,up_1,-68.0,-52.0,1,2,34,True,33
epc_166,2_22,mid_0,-52.0,-110.0,3,up_2,-60.0,-55.0,2,2,34,True,34
epc_166,2_24,up_2,-59.0,-61.0,2,up_1,-110.0,-55.0,1,2,34,True,34
epc_166,2_25,mid_0,-60.0,-110.0,3,up_1,-110.0,-58.0,1,2,34,True,34
epc_166,2_26,up_2,-63.0,-110.0,2,up_0,-110.0,-54.0,0,2,34,True,34
epc_166,2_27,mid_0,-59.0,-110.0,3,up_1,-110.0,-59.0,1,2,34,True,34
epc_166,2_28,mid_0,-59.0,-110.0,3,up_1,-62.0,-60.0,1,2,34,True,34
epc_166,2_21,up_2,-62.0,-110.0,2,up_0,-71.0,-55.0,0,2,34,True,34
epc_166,2_29,up_2,-59.0,-110.0,2,up_1,-110.0,-55.0,1,2,34,True,34
epc_166,2_30,up_2,-62.0,-110.0,2,up_0,-110.0,-57.0,0,2,34,True,34
epc_166,2_31,up_2,-58.0,-110.0,2,up_1,-69.0,-54.0,1,2,34,True,34
epc_166,2_33,up_2,-58.0,-110.0,2,up_1,-64.0,-58.0,1,2,34,True,34
epc_166,2_34,up_2,-64.0,-110.0,2,up_1,-110.0,-58.0,1,2,34,True,34
epc_166,2_35,mid_0,-60.0,-110.0,3,up_1,-63.0,-58.0,1,2,34,True,34
epc_166,2_36,up_2,-63.0,-73.0,2,up_0,-110.0,-55.0,0,2,34,True,34
epc_166,2_3,up_2,-60.0,-110.0,2,up_0,-110.0,-56.0,0,2,34,True,34
epc_168,2_5,mid_0,-62.0,-110.0,3,up_2,-65.0,-61.0,2,2,34,True,34
epc_166,2_20,up_2,-63.0,-110.0,2,up_1,-110.0,-57.0,1,2,34,True,34
